NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Des Moines, East Passage
State: WA
Stationid: 9446248
ReferencedToStationName: Seattle
ReferenceToStationId: 9447130
HeightOffsetLow: *1.01
HeightOffsetHigh: * 1.03
TimeOffsetLow: 8
TimeOffsetHigh: 5
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2017/02/10	Fri	10:40 PM	-1.5		-46		L
2017/02/11	Sat	05:49 AM	12.8		390		H
2017/02/11	Sat	11:34 AM	5.3		162		L
2017/02/11	Sat	04:44 PM	11.3		344		H
2017/02/11	Sat	11:22 PM	-0.9		-27		L
2017/02/12	Sun	06:20 AM	12.8		390		H
2017/02/12	Sun	12:16 PM	4.7		143		L
2017/02/12	Sun	05:34 PM	11.0		335		H
2017/02/13	Mon	12:03 AM	-0.1		-3		L
2017/02/13	Mon	06:51 AM	12.7		387		H
2017/02/13	Mon	12:57 PM	4.1		125		L
2017/02/13	Mon	06:23 PM	10.6		323		H
2017/02/14	Tue	12:43 AM	0.9		27		L
2017/02/14	Tue	07:22 AM	12.5		381		H
2017/02/14	Tue	01:39 PM	3.6		110		L
2017/02/14	Tue	07:14 PM	10.1		308		H
2017/02/15	Wed	01:23 AM	2.1		64		L
2017/02/15	Wed	07:54 AM	12.3		375		H
2017/02/15	Wed	02:21 PM	3.2		98		L
2017/02/15	Wed	08:09 PM	9.6		293		H
2017/02/16	Thu	02:04 AM	3.5		107		L
2017/02/16	Thu	08:28 AM	11.9		363		H
2017/02/16	Thu	03:06 PM	2.8		85		L
2017/02/16	Thu	09:09 PM	9.2		280		H
2017/02/17	Fri	02:48 AM	4.8		146		L
2017/02/17	Fri	09:06 AM	11.4		347		H
2017/02/17	Fri	03:55 PM	2.6		79		L
2017/02/17	Fri	10:21 PM	8.9		271		H
2017/02/18	Sat	03:40 AM	6.1		186		L
2017/02/18	Sat	09:48 AM	10.8		329		H
2017/02/18	Sat	04:49 PM	2.3		70		L
2017/02/18	Sat	11:54 PM	9.0		274		H
2017/02/19	Sun	04:52 AM	7.1		216		L
2017/02/19	Sun	10:37 AM	10.3		314		H
2017/02/19	Sun	05:47 PM	2.0		61		L
2017/02/20	Mon	01:38 AM	9.4		287		H
2017/02/20	Mon	06:34 AM	7.7		235		L
2017/02/20	Mon	11:33 AM	10.0		305		H
2017/02/20	Mon	06:45 PM	1.6		49		L
2017/02/21	Tue	02:47 AM	10.1		308		H
2017/02/21	Tue	08:04 AM	7.6		232		L
2017/02/21	Tue	12:32 PM	9.8		299		H
2017/02/21	Tue	07:38 PM	1.1		34		L
2017/02/22	Wed	03:31 AM	10.7		326		H
2017/02/22	Wed	08:59 AM	7.3		223		L
2017/02/22	Wed	01:28 PM	9.9		302		H
2017/02/22	Wed	08:25 PM	0.6		18		L
2017/02/23	Thu	04:02 AM	11.1		338		H
2017/02/23	Thu	09:36 AM	6.9		210		L
2017/02/23	Thu	02:18 PM	10.1		308		H
2017/02/23	Thu	09:07 PM	0.1		3		L
2017/02/24	Fri	04:28 AM	11.5		351		H
2017/02/24	Fri	10:06 AM	6.4		195		L
2017/02/24	Fri	03:03 PM	10.4		317		H
2017/02/24	Fri	09:47 PM	-0.3		-9		L
2017/02/25	Sat	04:52 AM	11.8		360		H
2017/02/25	Sat	10:35 AM	5.7		174		L
2017/02/25	Sat	03:47 PM	10.7		326		H
2017/02/25	Sat	10:26 PM	-0.4		-12		L
2017/02/26	Sun	05:17 AM	12.1		369		H
2017/02/26	Sun	11:08 AM	4.9		149		L
2017/02/26	Sun	04:31 PM	11.0		335		H
2017/02/26	Sun	11:05 PM	-0.3		-9		L
2017/02/27	Mon	05:45 AM	12.4		378		H
2017/02/27	Mon	11:44 AM	4.0		122		L
2017/02/27	Mon	05:17 PM	11.1		338		H
2017/02/27	Mon	11:45 PM	0.2		6		L
2017/02/28	Tue	06:16 AM	12.6		384		H
2017/02/28	Tue	12:23 PM	3.1		94		L
2017/02/28	Tue	06:07 PM	11.1		338		H
2017/03/01	Wed	12:26 AM	1.0		30		L
2017/03/01	Wed	06:48 AM	12.7		387		H
2017/03/01	Wed	01:06 PM	2.2		67		L
2017/03/01	Wed	07:00 PM	10.9		332		H
2017/03/02	Thu	01:09 AM	2.1		64		L
2017/03/02	Thu	07:24 AM	12.6		384		H
2017/03/02	Thu	01:52 PM	1.5		46		L
2017/03/02	Thu	07:58 PM	10.6		323		H
2017/03/03	Fri	01:55 AM	3.5		107		L
2017/03/03	Fri	08:03 AM	12.4		378		H
2017/03/03	Fri	02:43 PM	0.9		27		L
2017/03/03	Fri	09:05 PM	10.3		314		H
2017/03/04	Sat	02:48 AM	4.8		146		L
2017/03/04	Sat	08:47 AM	11.9		363		H
2017/03/04	Sat	03:39 PM	0.6		18		L
2017/03/04	Sat	10:24 PM	10.0		305		H
2017/03/05	Sun	03:52 AM	6.1		186		L
2017/03/05	Sun	09:38 AM	11.4		347		H
2017/03/05	Sun	04:42 PM	0.4		12		L
2017/03/06	Mon	12:00 AM	10.1		308		H
2017/03/06	Mon	05:16 AM	7.0		213		L
2017/03/06	Mon	10:40 AM	10.9		332		H
2017/03/06	Mon	05:50 PM	0.2		6		L
2017/03/07	Tue	01:36 AM	10.6		323		H
2017/03/07	Tue	06:54 AM	7.1		216		L
2017/03/07	Tue	11:51 AM	10.5		320		H
2017/03/07	Tue	06:57 PM	0.0		0		L
2017/03/08	Wed	02:43 AM	11.2		341		H
2017/03/08	Wed	08:13 AM	6.6		201		L
2017/03/08	Wed	01:04 PM	10.4		317		H
2017/03/08	Wed	07:59 PM	-0.2		-6		L
2017/03/09	Thu	03:31 AM	11.7		357		H
2017/03/09	Thu	09:11 AM	5.8		177		L
2017/03/09	Thu	02:10 PM	10.5		320		H
2017/03/09	Thu	08:53 PM	-0.3		-9		L
2017/03/10	Fri	04:10 AM	12.0		366		H
2017/03/10	Fri	09:56 AM	5.0		152		L
2017/03/10	Fri	03:09 PM	10.7		326		H
2017/03/10	Fri	09:41 PM	-0.1		-3		L
2017/03/11	Sat	04:41 AM	12.1		369		H
2017/03/11	Sat	10:36 AM	4.2		128		L
2017/03/11	Sat	04:00 PM	10.9		332		H
2017/03/11	Sat	10:25 PM	0.3		9		L
2017/03/12	Sun	06:09 AM	12.1		369		H
2017/03/12	Sun	12:12 PM	3.5		107		L
2017/03/12	Sun	05:48 PM	10.9		332		H
2017/03/13	Mon	12:05 AM	0.9		27		L
2017/03/13	Mon	06:35 AM	12.1		369		H
2017/03/13	Mon	12:47 PM	2.8		85		L
2017/03/13	Mon	06:34 PM	10.8		329		H
2017/03/14	Tue	12:44 AM	1.7		52		L
2017/03/14	Tue	07:02 AM	11.9		363		H
2017/03/14	Tue	01:21 PM	2.3		70		L
2017/03/14	Tue	07:19 PM	10.7		326		H
2017/03/15	Wed	01:22 AM	2.6		79		L
2017/03/15	Wed	07:31 AM	11.7		357		H
2017/03/15	Wed	01:56 PM	1.8		55		L
2017/03/15	Wed	08:04 PM	10.6		323		H
2017/03/16	Thu	02:01 AM	3.6		110		L
2017/03/16	Thu	08:01 AM	11.4		347		H
2017/03/16	Thu	02:33 PM	1.6		49		L
2017/03/16	Thu	08:52 PM	10.3		314		H
2017/03/17	Fri	02:41 AM	4.6		140		L
2017/03/17	Fri	08:34 AM	11.0		335		H
2017/03/17	Fri	03:12 PM	1.4		43		L
2017/03/17	Fri	09:44 PM	10.1		308		H
2017/03/18	Sat	03:25 AM	5.6		171		L
2017/03/18	Sat	09:11 AM	10.4		317		H
2017/03/18	Sat	03:56 PM	1.5		46		L
2017/03/18	Sat	10:44 PM	9.8		299		H
2017/03/19	Sun	04:18 AM	6.5		198		L
2017/03/19	Sun	09:52 AM	9.9		302		H
2017/03/19	Sun	04:45 PM	1.6		49		L
2017/03/19	Sun	11:55 PM	9.7		296		H
2017/03/20	Mon	05:30 AM	7.1		216		L
2017/03/20	Mon	10:43 AM	9.3		283		H
2017/03/20	Mon	05:42 PM	1.7		52		L
2017/03/21	Tue	01:18 AM	9.8		299		H
2017/03/21	Tue	07:13 AM	7.3		223		L
2017/03/21	Tue	11:47 AM	8.9		271		H
2017/03/21	Tue	06:44 PM	1.7		52		L
2017/03/22	Wed	02:33 AM	10.1		308		H
2017/03/22	Wed	08:40 AM	7.0		213		L
2017/03/22	Wed	12:57 PM	8.8		268		H
2017/03/22	Wed	07:47 PM	1.5		46		L
2017/03/23	Thu	03:23 AM	10.5		320		H
